cond_1	cond_2	time	mean_crossval_score	metric
deviant	standard	-0.2	0.49619530244530247	roc_auc
deviant	standard	-0.19833333333333333	0.4809711497211497	roc_auc
deviant	standard	-0.19666666666666666	0.46342771342771333	roc_auc
deviant	standard	-0.195	0.44551158301158306	roc_auc
deviant	standard	-0.19333333333333333	0.48848670098670094	roc_auc
deviant	standard	-0.19166666666666668	0.4615401115401115	roc_auc
deviant	standard	-0.19	0.4986888674388674	roc_auc
deviant	standard	-0.18833333333333332	0.4766221578721579	roc_auc
deviant	standard	-0.18666666666666668	0.46760242385242384	roc_auc
deviant	standard	-0.185	0.4566897254397254	roc_auc
deviant	standard	-0.18333333333333332	0.38760725010725006	roc_auc
deviant	standard	-0.18166666666666667	0.40638942513942516	roc_auc
deviant	standard	-0.18	0.462776169026169	roc_auc
deviant	standard	-0.17833333333333334	0.5092395967395967	roc_auc
deviant	standard	-0.17666666666666667	0.5492626555126555	roc_auc
deviant	standard	-0.175	0.5048503861003862	roc_auc
deviant	standard	-0.17333333333333334	0.4745709995709996	roc_auc
deviant	standard	-0.17166666666666666	0.5568640068640068	roc_auc
deviant	standard	-0.17	0.6269385456885457	roc_auc
deviant	standard	-0.16833333333333333	0.5566816816816818	roc_auc
deviant	standard	-0.16666666666666666	0.4830410767910768	roc_auc
deviant	standard	-0.165	0.41870173745173744	roc_auc
deviant	standard	-0.16333333333333333	0.4051506864006864	roc_auc
deviant	standard	-0.16166666666666665	0.5162671600171601	roc_auc
deviant	standard	-0.16	0.5879826254826254	roc_auc
deviant	standard	-0.15833333333333333	0.5647200772200771	roc_auc
deviant	standard	-0.15666666666666668	0.5427123552123552	roc_auc
deviant	standard	-0.155	0.5095211282711282	roc_auc
deviant	standard	-0.15333333333333332	0.5218253968253967	roc_auc
deviant	standard	-0.15166666666666667	0.5010859073359073	roc_auc
deviant	standard	-0.15	0.4630737880737881	roc_auc
deviant	standard	-0.14833333333333334	0.4784668597168597	roc_auc
deviant	standard	-0.14666666666666667	0.510261154011154	roc_auc
deviant	standard	-0.145	0.559698090948091	roc_auc
deviant	standard	-0.14333333333333334	0.6566200128700128	roc_auc
deviant	standard	-0.14166666666666666	0.6388781638781639	roc_auc
deviant	standard	-0.14	0.6403287215787216	roc_auc
deviant	standard	-0.13833333333333334	0.6263728013728013	roc_auc
deviant	standard	-0.13666666666666666	0.6432888245388245	roc_auc
deviant	standard	-0.135	0.6397227584727585	roc_auc
deviant	standard	-0.13333333333333333	0.5887146074646075	roc_auc
deviant	standard	-0.13166666666666665	0.5581107893607894	roc_auc
deviant	standard	-0.13	0.5660097597597596	roc_auc
deviant	standard	-0.12833333333333333	0.5410178035178035	roc_auc
deviant	standard	-0.12666666666666668	0.5719272844272845	roc_auc
deviant	standard	-0.125	0.6203346203346204	roc_auc
deviant	standard	-0.12333333333333334	0.5899533462033462	roc_auc
deviant	standard	-0.12166666666666667	0.5820758258258258	roc_auc
deviant	standard	-0.12	0.5264103389103388	roc_auc
deviant	standard	-0.11833333333333333	0.4489998927498927	roc_auc
deviant	standard	-0.11666666666666667	0.44814993564993566	roc_auc
deviant	standard	-0.115	0.4406853281853282	roc_auc
deviant	standard	-0.11333333333333333	0.4123820248820248	roc_auc
deviant	standard	-0.11166666666666666	0.45240776490776485	roc_auc
deviant	standard	-0.11	0.5398192835692835	roc_auc
deviant	standard	-0.10833333333333334	0.586014586014586	roc_auc
deviant	standard	-0.10666666666666667	0.5524667524667525	roc_auc
deviant	standard	-0.105	0.5909722222222221	roc_auc
deviant	standard	-0.10333333333333333	0.6194524882024882	roc_auc
deviant	standard	-0.10166666666666667	0.6069524882024881	roc_auc
deviant	standard	-0.1	0.6562124624624625	roc_auc
deviant	standard	-0.09833333333333333	0.6660580223080222	roc_auc
deviant	standard	-0.09666666666666666	0.5907550407550408	roc_auc
deviant	standard	-0.095	0.5598267910767911	roc_auc
deviant	standard	-0.09333333333333334	0.5242224367224366	roc_auc
deviant	standard	-0.09166666666666666	0.5460451522951523	roc_auc
deviant	standard	-0.09	0.5847222222222223	roc_auc
deviant	standard	-0.08833333333333333	0.5810033247533248	roc_auc
deviant	standard	-0.08666666666666667	0.6104434791934792	roc_auc
deviant	standard	-0.085	0.6342101029601029	roc_auc
deviant	standard	-0.08333333333333333	0.6402268339768339	roc_auc
deviant	standard	-0.08166666666666667	0.5628887816387816	roc_auc
deviant	standard	-0.08	0.5481499356499355	roc_auc
deviant	standard	-0.07833333333333334	0.5442674817674817	roc_auc
deviant	standard	-0.07666666666666666	0.5176077863577863	roc_auc
deviant	standard	-0.075	0.45776490776490775	roc_auc
deviant	standard	-0.07333333333333333	0.42149560274560277	roc_auc
deviant	standard	-0.07166666666666667	0.46197179322179316	roc_auc
deviant	standard	-0.07	0.44392160017160015	roc_auc
deviant	standard	-0.06833333333333333	0.4884250321750322	roc_auc
deviant	standard	-0.06666666666666667	0.493961818961819	roc_auc
deviant	standard	-0.065	0.4364730802230802	roc_auc
deviant	standard	-0.06333333333333334	0.4084647147147146	roc_auc
deviant	standard	-0.06166666666666667	0.4872211497211497	roc_auc
deviant	standard	-0.06	0.5254799442299443	roc_auc
deviant	standard	-0.058333333333333334	0.48083708708708706	roc_auc
deviant	standard	-0.056666666666666664	0.4587221149721149	roc_auc
deviant	standard	-0.055	0.4376179751179752	roc_auc
deviant	standard	-0.05333333333333334	0.45702756327756333	roc_auc
deviant	standard	-0.051666666666666666	0.4996299871299871	roc_auc
deviant	standard	-0.05	0.5094782282282282	roc_auc
