cond_1	cond_2	time	mean_crossval_score	metric
incoherent	coherent	0.252	0.44305555555555554	roc_auc
incoherent	coherent	0.256	0.5	roc_auc
incoherent	coherent	0.26	0.4916666666666666	roc_auc
incoherent	coherent	0.264	0.46944444444444444	roc_auc
incoherent	coherent	0.268	0.49722222222222223	roc_auc
incoherent	coherent	0.272	0.49861111111111106	roc_auc
incoherent	coherent	0.276	0.5875	roc_auc
incoherent	coherent	0.28	0.6694444444444445	roc_auc
incoherent	coherent	0.284	0.6222222222222221	roc_auc
incoherent	coherent	0.288	0.5847222222222223	roc_auc
incoherent	coherent	0.292	0.6013888888888889	roc_auc
incoherent	coherent	0.296	0.5638888888888889	roc_auc
incoherent	coherent	0.3	0.5291666666666666	roc_auc
incoherent	coherent	0.304	0.5222222222222223	roc_auc
incoherent	coherent	0.308	0.4611111111111111	roc_auc
incoherent	coherent	0.312	0.40555555555555556	roc_auc
incoherent	coherent	0.316	0.4527777777777778	roc_auc
incoherent	coherent	0.32	0.5041666666666667	roc_auc
incoherent	coherent	0.324	0.5069444444444444	roc_auc
incoherent	coherent	0.328	0.5555555555555556	roc_auc
incoherent	coherent	0.332	0.5541666666666667	roc_auc
incoherent	coherent	0.336	0.5833333333333334	roc_auc
incoherent	coherent	0.34	0.6069444444444445	roc_auc
incoherent	coherent	0.344	0.5777777777777777	roc_auc
incoherent	coherent	0.348	0.5777777777777777	roc_auc
incoherent	coherent	0.352	0.6222222222222222	roc_auc
incoherent	coherent	0.356	0.5694444444444444	roc_auc
incoherent	coherent	0.36	0.5333333333333334	roc_auc
incoherent	coherent	0.364	0.5583333333333333	roc_auc
incoherent	coherent	0.368	0.5583333333333333	roc_auc
incoherent	coherent	0.372	0.5138888888888888	roc_auc
incoherent	coherent	0.376	0.45138888888888895	roc_auc
incoherent	coherent	0.38	0.4166666666666667	roc_auc
incoherent	coherent	0.384	0.4527777777777778	roc_auc
incoherent	coherent	0.388	0.5166666666666667	roc_auc
incoherent	coherent	0.392	0.5680555555555555	roc_auc
incoherent	coherent	0.396	0.5958333333333334	roc_auc
incoherent	coherent	0.4	0.5333333333333333	roc_auc
incoherent	coherent	0.404	0.4958333333333333	roc_auc
incoherent	coherent	0.408	0.5083333333333333	roc_auc
incoherent	coherent	0.412	0.5347222222222222	roc_auc
